Iteration,Hg,Hp,Ht,Hr,Sc,dist_sum
0,5.411337500000002,-0.5886624999999991,5.162642187500002,2.173206250000001,-0.4787694018743207,0.0
1,5.321626938370107,-0.6783730616298947,5.0688614157365866,2.1637966544701057,-0.4798666246024762,0.027959933437463717
2,5.24317360685397,-0.7568263931460307,4.986528028313652,2.15333039925397,-0.4868889524399906,0.05560156971539226
3,5.1800168898224745,-0.8199831101775257,4.922823181015101,2.141641455622474,-0.49537913108351195,0.08303752330721872
4,5.126660832921284,-0.873339167078717,4.869798246103203,2.1302021569212837,-0.507895685171819,0.11025118438110723
5,5.064183819307848,-0.9358161806921524,4.807675968184288,2.1195685868078473,-0.5169289626911392,0.13737549006300942
6,4.9861998028836645,-1.0138001971163364,4.726355328243556,2.108188910883663,-0.5192484842724362,0.1644316693529989
7,4.950218133020013,-1.0497818669799883,4.690958866098318,2.0977683161200114,-0.532753076444178,0.19139237699826145
8,4.9221659790099235,-1.0778340209900783,4.661491746591418,2.0877032906099204,-0.5495809865442404,0.21822688840672763
9,4.866871889534588,-1.1331281104654116,4.604479034617958,2.0789916161345867,-0.55742783374455,0.2448049174830058
10,4.807039953661483,-1.192960046338518,4.539906451422666,2.0708822336614805,-0.5665291380917148,0.2712122547396391
11,4.762798220245348,-1.2372017797546535,4.493752142977499,2.0610511753453453,-0.5781446801097985,0.2975265813919211
12,4.678766677006846,-1.3212333229931552,4.410656664075811,2.0511837330068436,-0.5777557272239705,0.32375982246776414
13,4.6520354576613645,-1.3479645423386362,4.383993929106987,2.0412037261613625,-0.5930079916031693,0.3498158809118538
14,4.605998516041181,-1.3940014839588202,4.340203794456177,2.0307805088411786,-0.6021702095509383,0.3757060146567703
15,4.547748951911357,-1.4522510480886446,4.275919291481253,2.0222981819113532,-0.6070555452762053,0.40149864239056554
16,4.476440114134542,-1.5235598858654593,4.2038533365661435,2.0136636489345396,-0.6084572457400659,0.4272726839167559
17,4.426402456440742,-1.5735975435592588,4.155572061429809,2.003570214340739,-0.6172758776451475,0.45311680728974
18,4.395588079856582,-1.60441192014342,4.120963178840993,1.9959345098565784,-0.629513254022597,0.47908271276369385
19,4.346461613353345,-1.653538386646657,4.073059326991617,1.9861241091533406,-0.6383385897225519,0.5052662682717198
20,4.299359658169242,-1.7006403418307596,4.021347620143119,1.978143708169238,-0.6465201543614683,0.5316746139685858
21,4.266913282057889,-1.7330867179421126,3.988738104410413,1.9685067514578853,-0.6585033669356527,0.5580591973414472
22,4.200292783608335,-1.7997072163916679,3.919140050285034,1.9609370972083302,-0.6599536342734906,0.5844315545418812
23,4.152871901644918,-1.8471280983550828,3.871997457549089,1.9515381869449149,-0.6687397618887503,0.6108482626716982
24,4.084990721050042,-1.915009278949959,3.8038688363152104,1.9431360662500379,-0.6690734796118668,0.6371179441415689
25,4.039653208139674,-1.9603467918603266,3.755139234632795,1.9343112706396703,-0.6769625032278762,0.6633193805168933
26,4.002732995883373,-1.9972670041166278,3.716481634352504,1.927118493083369,-0.6842353048287594,0.6895122594335401
27,3.955972593251128,-2.044027406748873,3.668867091943006,1.9195298257511237,-0.6913645881458153,0.7155886229882064
28,3.923825636979076,-2.0761743630209253,3.6366492279174945,1.9111382345790717,-0.7013629689006073,0.7415931647297941
29,3.8855918713469073,-2.114408128653094,3.598531560727043,1.9024312685469031,-0.70896196844228,0.7674556732124832
30,3.8274921877562216,-2.1725078122437793,3.535659411888924,1.8971485077562176,-0.7108880107475375,0.7932002332631963
31,3.80050728215527,-2.1994927178447305,3.50667947091417,1.8900287478552664,-0.7203898259977951,0.8188145667109712
32,3.7520244379257197,-2.247975562074281,3.4573972878249446,1.8832000075257154,-0.7235628388832048,0.844043849849999
33,3.692091306254771,-2.3079086937452304,3.3960596268977543,1.8765435202547667,-0.7243914579779764,0.86915457962588
34,3.6651279592616803,-2.334872040738321,3.366007005853094,1.869460653661676,-0.7342313030946463,0.8940970466913116
35,3.6230737042867878,-2.376926295713214,3.3204495781712184,1.864200664286783,-0.737203456486749,0.9188798258458011
36,3.6039609897467555,-2.3960390102532463,3.302067484142145,1.8568689233467508,-0.7471360377900255,0.9435817746915394
37,3.5431544694096218,-2.4568455305903796,3.2421053743622963,1.8496784362096175,-0.7467976563514628,0.9681552505134219
38,3.519422311535545,-2.4805776884644564,3.2158027715378723,1.844178119935541,-0.7542645531050635,0.9926479627124374
39,3.4702236833978706,-2.5297763166021316,3.166573444727911,1.8368175090978656,-0.7545362350931896,1.01711106930622
40,3.422273783086995,-2.5777262169130064,3.117928794011563,1.8308249730869905,-0.7560797132823025,1.041493573039154
41,3.40897252381661,-2.591027476183391,3.0970061636289117,1.8283034542166063,-0.7658347408426064,1.065765752115682
42,3.37290780138472,-2.627092198615281,3.0598758606549845,1.8225418581847166,-0.7698483728889172,1.0900015653848765
43,3.3428585836714193,-2.657141416328582,3.0266891638140594,1.8181717296714157,-0.7735773038531687,1.1140262667352097
44,3.2814088621450694,-2.718591137854932,2.9615419828576885,1.8131054081450664,-0.7710045835083206,1.1380489319402047
45,3.264485842608474,-2.7355141573915267,2.9449929072317493,1.8062160551084707,-0.7802430683520748,1.1620683395439595
46,3.226118985108158,-2.773881014891843,2.9050120358852665,1.801116108308155,-0.7811243854738865,1.1858188717327656
47,3.2033124750051822,-2.7966875249948187,2.8814167655424896,1.795888701905179,-0.7864467056826306,1.209288942464636
48,3.1812105344242108,-2.81878946557579,2.858246147328287,1.790739406424208,-0.791856059301807,1.2325527471020692
49,3.127491267181315,-2.8725087328186865,2.802775808788475,1.7856052857813118,-0.7901835785321693,1.2555581887063867
50,3.1054024825226447,-2.894597517477356,2.779792433825876,1.7807199825226419,-0.7951345033274173,1.278540232535577
51,3.07103339733644,-2.928966602663561,2.741771182745674,1.7775330315364377,-0.7949467246808459,1.3011400749729276
52,3.044352911896057,-2.9556470881039445,2.714295374923069,1.7724172742960544,-0.8000856041529318,1.3236778226169927
