Iteration,Hg,Hp,Ht,Hr,Sc,dist_sum
0,5.3932375000000015,-1.4306625000000004,5.3932375000000015,2.4062062500000003,-0.2141639179720402,0.0
1,5.301127971761089,-1.526628888131977,5.301127971761089,2.3930408279680226,-0.21463831455014928,0.027189607898274255
2,5.221752928513998,-1.609582615605902,5.221752928513998,2.383074176794098,-0.21942214148961856,0.054004592117625594
3,5.159228313428722,-1.6765584428711255,5.159228313428722,2.3750661229288736,-0.22615299202996572,0.0805527495615664
4,5.1065379575495395,-1.732540105296868,5.1065379575495395,2.3635012187031323,-0.23744722508982732,0.10690502055100784
5,5.044052712194897,-1.7971920283412939,5.044052712194897,2.3531927391587066,-0.2461064007730046,0.1332349581396735
6,4.975665117023433,-1.866638887544104,4.975665117023433,2.341688929655896,-0.2495017451069132,0.1595010867341492
7,4.9311258583097795,-1.9144726276927706,4.9311258583097795,2.338077555407229,-0.2577032242916696,0.18577098502459477
8,4.894308550419598,-1.9526818767450616,4.894308550419598,2.326507304454938,-0.2707292637946969,0.21217471223817785
9,4.8463706100690835,-2.000339301171725,4.8463706100690835,2.314280425428274,-0.2809590680188021,0.23851708799827476
10,4.771942630892585,-2.079053044952059,4.771942630892585,2.30510837504794,-0.28597429704406435,0.26481891323126705
11,4.715295947042282,-2.135591708774903,4.715295947042282,2.295415077025096,-0.2908453096690367,0.2911619735607258
12,4.656619228113778,-2.2000091164173434,4.656619228113778,2.289907939582655,-0.2981161522439938,0.3176515295531333
13,4.621486770411682,-2.2332291312221746,4.621486770411682,2.2771699913778245,-0.31018018430789984,0.34407094317178266
14,4.585027312833375,-2.275133826803579,4.585027312833375,2.2721481659964198,-0.32208936140562017,0.3704720520101324
15,4.5092866890297065,-2.3511336118823465,4.5092866890297065,2.262335120617653,-0.32138809007237124,0.39689476794154643
16,4.453583399578396,-2.409675468177121,4.453583399578396,2.2575480666228773,-0.3254136551391784,0.42309380877135694
17,4.404347542038991,-2.460142757668441,4.404347542038991,2.247025000231557,-0.3341598611419627,0.44917865296291076
18,4.363474781886004,-2.5024606010670123,4.363474781886004,2.2363705625329864,-0.34275913334419905,0.47533073655434976
19,4.323537389434941,-2.54518331901412,4.323537389434941,2.226979176785878,-0.3536975575777157,0.5016272013551636
20,4.27541994308464,-2.5968198688669935,4.27541994308464,2.2219641811330044,-0.35946512774214856,0.527909186543301
21,4.235373418742627,-2.63691226721562,4.235373418742627,2.210529627084378,-0.36753437564556024,0.5542088161166324
22,4.189836255007552,-2.687508700191299,4.189836255007552,2.2041103982086985,-0.37552432600439173,0.5805458028505605
23,4.120402413927823,-2.761429414864698,4.120402413927823,2.1957992285352996,-0.37591758592304636,0.6069502295409137
24,4.0606468251792345,-2.813431113643228,4.0606468251792345,2.1822142315567694,-0.3787360240287241,0.6334541204679439
25,4.007023033562916,-2.8713406032159994,4.007023033562916,2.176785521783999,-0.38123615016477735,0.6596974370713458
26,3.9773417711291295,-2.903522731762341,3.9773417711291295,2.168362765437656,-0.39086276775652706,0.685832261816979
27,3.929945650333894,-2.9547755248843486,3.929945650333894,2.1612817076156494,-0.3976693058810501,0.7118699821717922
28,3.88977843605442,-2.994417236669636,3.88977843605442,2.151214238530361,-0.4043281397310724,0.7379060068602132
29,3.853120166316516,-3.0331416037431707,3.853120166316516,2.1439130783568268,-0.41046065977871354,0.7636544229013713
30,3.807552021709929,-3.079528782095042,3.807552021709929,2.135784527904955,-0.41596955353138326,0.7888897329484411
31,3.765591444732607,-3.124213117508218,3.765591444732607,2.1284925010917797,-0.41856547966234997,0.8137401334422323
32,3.7252712141374795,-3.1619889885606467,3.7252712141374795,2.119186581039351,-0.42330803613672746,0.8382021441968535
33,3.691130013289245,-3.1986155631066024,3.691130013289245,2.112590766693394,-0.4276798574602659,0.86234027518941
34,3.6310402873681547,-3.2633430879202967,3.6310402873681547,2.1115534948797,-0.42670175560635104,0.8862148596121775
35,3.5969789557334084,-3.300007964689345,3.5969789557334084,2.1176032453106512,-0.43059052121653507,0.9099892359536629
36,3.569576287028513,-3.327647677016307,3.569576287028513,2.1109939909836895,-0.43694235142157906,0.9339026115886343
37,3.5517340671678665,-3.348875838894525,3.5517340671678665,2.1064448756054714,-0.4454995429668359,0.957664995940146
38,3.4924876413365125,-3.410928165239053,3.4924876413365125,2.1001641431609444,-0.4437849674829026,0.9813179933553597
39,3.4531749368764824,-3.4511142111402773,3.4531749368764824,2.09343542765972,-0.4442732911542139,1.0047789956872
40,3.4292854628362557,-3.4754930662416794,3.4292854628362557,2.0871319037583187,-0.4497488528679199,1.027947059743659
41,3.387343308878104,-3.5198233654213498,3.387343308878104,2.0815340649786473,-0.4500972075087504,1.0509777040330246
42,3.357608949492669,-3.5498189262571227,3.357608949492669,2.0757146809428755,-0.455166787507643,1.0738384013443494
43,3.3339138134311503,-3.5737982176548115,3.3339138134311503,2.070056866145186,-0.45993237278743315,1.0965015124816266
44,3.291441497984316,-3.618089491760812,3.291441497984316,2.0655394826391857,-0.45945180903941363,1.1189501061941924
45,3.2761428181974313,-3.6329393037184223,3.2761428181974313,2.061006318781576,-0.466135009446593,1.1410363700052724
46,3.230426202450554,-3.679388823041408,3.230426202450554,2.0555530205585906,-0.4649181165341841,1.1627291723731707
47,3.2015962539491443,-3.7105901832929096,3.2015962539491443,2.0511512133070897,-0.4659052757492203,1.1842067332093908
48,3.156173655314982,-3.756718492139771,3.156173655314982,2.0460352798602273,-0.4617031429226731,1.205269912236091
49,3.134864187079772,-3.778237779046721,3.134864187079772,2.0413110828532774,-0.4652060415953895,1.2263230246550132
50,3.1130563758937493,-3.803484611137864,3.1130563758937493,2.038491138862135,-0.4685411365004877,1.2472054563586035
51,3.0995011188839166,-3.818734208345556,3.0995011188839166,2.035147782454443,-0.474043003372547,1.2676771431137386
52,3.0625671858027483,-3.8574086119946154,3.0625671858027483,2.0319731380053834,-0.4717259333762983,1.2878376427396632
53,3.020248751534721,-3.899620499355411,3.020248751534721,2.0332716384445875,-0.469206282377341,1.3077172917458686
54,3.00085245217969,-3.9207513919122685,3.00085245217969,2.03281731768773,-0.4714951972832797,1.3276058308547003
55,2.9885022780667367,-3.9341653158813927,2.9885022780667367,2.030726811618607,-0.4759894444159134,1.347241595844284
