Hg,Hp,Ht,Hr
2.5554312500000025,-3.034924999999999,2.355073437500003,1.6972875
2.5346601916022555,-3.058474587630743,2.335448776027004,1.6910004378765153
2.5144400272518177,-3.083670196368936,2.3161476949673823,1.6811057451643205
2.49514981752157,-3.1075342860912447,2.2965378952311797,1.671683638981989
2.476472847157374,-3.1255036441442137,2.2782677156335636,1.6651944702359023
2.4582272962551563,-3.1458586142907494,2.2597292291645843,1.658246361392681
2.4403338702927684,-3.169045897833697,2.242056196387616,1.6538070121715533
2.422672400538543,-3.187373138019637,2.2239565544571773,1.6409286844323352
2.405240564063868,-3.2062054256152015,2.2085125563231696,1.6372709221290318
2.3880242005648293,-3.223141380220805,2.1920233861540543,1.6302317703767986
2.370986328471355,-3.2428140031633923,2.1760240771974146,1.6236474503792446
2.3541864845184475,-3.2633129371765124,2.1591860507896667,1.617792578613789
2.3376050843994185,-3.2802117572625384,2.1419052156458855,1.6113264717880593
2.32122075526262,-3.2953683557113624,2.1264750884931063,1.6059296490594714
2.305032639944583,-3.317854619657555,2.108448084646186,1.6024444743808273
2.289078557844044,-3.3358255222739412,2.092131617932532,1.5957510288177712
2.2734381773984524,-3.3556123456447757,2.0749135696808727,1.5879247022579817
2.258107753608311,-3.373141494559202,2.0574821897339457,1.5873731333535308
2.243044322086512,-3.3844248567404396,2.0433337062067256,1.580347860753649
2.228220913872644,-3.401182986213758,2.0280863389374457,1.5776826418451213
2.213713866915861,-3.4195845762720043,2.0127501993067596,1.569012710354778
2.199533283065306,-3.432316374432939,2.0002955261889888,1.5630754734102856
2.185673117248668,-3.4491784617614147,1.9858743015062292,1.5576150408518292
2.1720421368664686,-3.4586886830223493,1.973840251783081,1.5503154165762594
2.15860724447584,-3.4771072124264664,1.9585180871525694,1.5451051279949573
2.145404783488978,-3.484168070121688,1.9472719236969764,1.5365285823512806
2.1324017323151496,-3.5011736394451765,1.9344582611353935,1.5315873272567138
2.1195667105081695,-3.5106768966795223,1.9228744158989373,1.525388691667361
2.106862162208347,-3.5232149933630263,1.9100450288868762,1.5180644381174533
2.0942431525726923,-3.533585186992659,1.8976144072467043,1.512760030878618
2.0816882663141945,-3.5467414847565877,1.8855105796172802,1.506473430325971
2.0691472256348726,-3.560311009763758,1.872803402183844,1.5016450037445823
2.0565908912361577,-3.573280661251816,1.8586820556021366,1.4957815922414868
2.0438853163058903,-3.5874239915845103,1.841429797223689,1.4948972344819915
2.0311869189108847,-3.605954170655313,1.8246677360855315,1.4934365495339086
2.0187793106884264,-3.6190784345334706,1.8127976196048485,1.4879899480261998
2.006566765954953,-3.6308027540596406,1.8002189059658975,1.4827844137355088
1.9948942494218116,-3.6422628990421817,1.7883871107698055,1.4780049579441505
1.9836095144840844,-3.6507737498983026,1.7787719627708738,1.471159834070543
1.972638122711583,-3.6636694670138086,1.7673688150056255,1.4671618082559812
1.961983028762936,-3.6746993752928665,1.7569948318047874,1.4611392308646158
1.9516063815594604,-3.6866970794061324,1.7459589772836543,1.4563735167303116
1.941490882365077,-3.6995515295417727,1.7350851912952137,1.4511626682647707
1.9315928144033518,-3.702064222204103,1.727148091858942,1.4469042557128045
1.9217835366316816,-3.700760519762972,1.718379078927671,1.4393762925982396
1.9120733925169846,-3.711470168778031,1.7075435634882457,1.435075717902933
1.9025194915607102,-3.726477937702658,1.6945800635082353,1.433194371990086
1.89304718331143,-3.740510675709141,1.6819655775768572,1.4317129291183284
1.8836583993659968,-3.7517385443414906,1.6711436071466117,1.426933206924159
1.8743708981271254,-3.7613153191452966,1.6601980610814406,1.424995819789557
1.865185978434868,-3.7729118923697964,1.6500093815383652,1.4224801195256673
1.8562097391582006,-3.778642169657391,1.6404736707698933,1.416113793906542
1.847413619812194,-3.787440218603134,1.631678998623689,1.4122569492296986
1.8388726881254098,-3.797956509247485,1.6218070861550808,1.4070750990208052
1.8305346998556122,-3.8019134164914385,1.6139332871158998,1.4042009486421905
1.8224610295039403,-3.8112344195774237,1.6058576163149627,1.3993674174083628
1.814608726688851,-3.819223631449798,1.5990454952928366,1.3956743307149644
1.8069822767510133,-3.8300202521079956,1.590984173395269,1.3939383241697403
1.799547595239305,-3.8422920743068496,1.58061484739892,1.3935414366983516
1.7922137152417563,-3.851004865781852,1.5696276510094616,1.3932306340958946
1.7849477541805459,-3.8582711968754513,1.562361967472543,1.3910392403462297
1.7779024728442392,-3.8630437434423515,1.5554871350591812,1.388859460584183
1.7710856294686566,-3.869717065614292,1.549500150780867,1.385179299787501
1.7645223028699255,-3.875102886301857,1.5429911947487613,1.3831894427886338
1.7581433597321876,-3.8884154506593216,1.5333749675258195,1.3810425922382035
1.7518671542309645,-3.897927042563224,1.5257753018266058,1.3777262194726865
1.745684878311645,-3.9073287912645958,1.516382630493825,1.3756154338580673
1.7395073152482325,-3.9146571718908616,1.5101306806025523,1.3728970397743872
1.7335259327724302,-3.9235292664130683,1.5044423321615534,1.3739498407305133
1.7276947744565678,-3.935402333036797,1.499392605076591,1.3805623754745793
1.7220120487568322,-3.943289773910921,1.4944259157576463,1.3835525074152717
1.7164733792849463,-3.947799452539778,1.4881155031534887,1.3820086635695084
1.7110938447858897,-3.952017942219931,1.4828026850402543,1.3794192143496804
1.7058794707473015,-3.9622599583257863,1.4747965425521161,1.3780999328376586
1.700757276471291,-3.970760555206379,1.4647081502295425,1.3737847765563387
1.6955114475948072,-3.974657061707977,1.4565753295718946,1.3710136655020235
1.6903596342744625,-3.9782281283635963,1.4530504562530053,1.3672789860353152
1.6854548197103525,-3.983343243018685,1.4492408667571293,1.3688904962078736
1.6806467485055427,-3.986208828858744,1.4439134315287567,1.3699676525030586
1.675884866346696,-3.989577701543066,1.4409192922640168,1.370432124947463
1.6712915668594184,-3.998182943939719,1.436522449958771,1.3716836012755573
1.6668873635960253,-4.003493149701082,1.4327977485688552,1.3692730596861151
1.6626692325170385,-4.0060584983630285,1.4292150306770879,1.3667415049643161
1.6584931591569467,-4.020054782140566,1.41552911513008,1.3665154331549685
1.653958445244825,-4.0260299055962,1.4120747083755931,1.3660340611337212
1.649605416645985,-4.030481197375033,1.4087328771617476,1.3651504658691005
1.6453980377568416,-4.037470554251457,1.404736981763065,1.3672545993022271
1.6413020757151155,-4.040023012462162,1.4022958918480724,1.3665104179378673
1.637341958852678,-4.042320957051263,1.3989641457806332,1.3633727129014572
1.6335522455943972,-4.042629226335511,1.3972508495418274,1.3617929380825868
1.6298483713123098,-4.051605537526512,1.3928138029414252,1.3632049788708611
1.6261993481466868,-4.055059754506365,1.3890186751364748,1.3652515343342286
1.6226030016433413,-4.0623149662804705,1.3816039775861992,1.3635752403911534
1.6188343144029826,-4.071146638941873,1.3750700294116234,1.3630288649537017
1.614970355132629,-4.0807169005697155,1.368923296909387,1.364743101502753
1.6112089162391983,-4.079065599797287,1.365789803266562,1.3607777630341213
1.6075601141817113,-4.0790086939089365,1.364986720249696,1.3623677305982684
1.603984863469482,-4.082126905348259,1.362006190082787,1.3599195436805118
1.6005420876831418,-4.087935382793055,1.3575251905402883,1.3623056916646616
1.5970779217888351,-4.088854713931396,1.355902398579007,1.3609490270637699
1.5937202819948348,-4.090955505439323,1.3534771225704523,1.35921374058426
1.5904654033726457,-4.094718607214726,1.3515409113131738,1.3587319071998245
1.5873028667586977,-4.103525164109912,1.3432363899101536,1.3589658731298146
1.5839784622077486,-4.112963469000484,1.3369974106139226,1.3603960149788876
1.580488921293024,-4.115869702683823,1.3330703892756581,1.357136906286687
1.5770946127863577,-4.117184636537364,1.3318665497791478,1.3573452813343974
1.5737515379359743,-4.120491496870085,1.3303713140405182,1.3553142868350636
1.5704880115805655,-4.1273177006893205,1.3260297957829783,1.3573096317133264
1.5673019973238094,-4.128762749974905,1.3234130577978445,1.3547333421330454
1.5642097700437194,-4.129790390438317,1.3215848904052456,1.3536753265196484
1.5611733923229645,-4.133950140951515,1.3193910422788235,1.353914204803778
1.5582473858473311,-4.13493727221741,1.3178233793958856,1.352201359234401
1.5553454019246056,-4.138265359122618,1.314303472710023,1.354905820205691
1.5524135757459248,-4.145318034075173,1.3088372831117479,1.3529363172918374
1.5494141915407944,-4.146031472057274,1.304123439239344,1.3488141058740488
1.5462514204808095,-4.156207840201664,1.3015333659926636,1.3505167985518485
