Iteration,Hg,Hp,Ht,Hr,dist_sum
0,1.3270187500000024,-4.6729812499999985,0.9894062500000017,1.1567750000000023,0.0
1,1.3165242790233995,-4.683475720976602,0.9825465021244765,1.1472132311233996,0.03989183683343683
2,1.2894282555370578,-4.710571744462944,0.9583843606127069,1.1376509995370578,0.07960135189536169
3,1.245859499751867,-4.754140500248134,0.9136536579294458,1.128013958951867,0.11947973477597724
4,1.235430275326904,-4.7645697246730965,0.908120184853606,1.1182389709258276,0.15956533926056363
5,1.2175504079495139,-4.7824495920504875,0.8920807996991991,1.1084384496154422,0.19969062453891612
6,1.2003453858456834,-4.799654614154318,0.8790858445345483,1.0986921393422837,0.2398387712127077
7,1.1578832609958505,-4.842116739004151,0.8352984970921756,1.0892264785572763,0.27984004192329426
8,1.1486129517441859,-4.851387048255815,0.8305446196905042,1.0801843048829753,0.31876715450269627
9,1.1397074946590922,-4.86029250534091,0.8248623301451271,1.0715075755144696,0.3571625179951504
10,1.1310698806010275,-4.868930119398974,0.8190012042364934,1.063096466009857,0.39523590143982323
11,1.1064100847629246,-4.893589915237077,0.7972229935614024,1.0548007745402133,0.43351130410436883
12,1.080831931616758,-4.919168068383244,0.7759972047441662,1.0466331651012286,0.47135549478395644
13,1.0726221552059696,-4.927377844794032,0.7684338041041489,1.0385007229616292,0.5089999887480594
14,1.0645294179559617,-4.93547058204404,0.763528541703059,1.0304826226795865,0.5462990469169484
15,1.056471882972917,-4.943528117027084,0.7579892086989551,1.022499658741211,0.5838306155892462
16,1.0484623198432088,-4.951537680156792,0.7527359812960327,1.0145646627283602,0.6213512868075258
17,1.0239061064183623,-4.976093893581638,0.728783623064256,1.0066574846006529,0.6588792959746457
18,1.0160285589711757,-4.983971441028825,0.7236455580276477,0.9988091892077161,0.6960204562320288
19,1.008253109898155,-4.991746890101846,0.7188414967405851,0.991061923738,0.7330742355737841
20,1.0005693728825615,-4.99943062711744,0.7146353958776203,0.9834053294063312,0.7696993999894651
21,0.9929499612168209,-5.00705003878318,0.7101523802249189,0.9758147986828658,0.8064864057732333
22,0.9683143028254859,-5.031685697174515,0.6867486583234108,0.9683143028254859,0.8433340430998538
23,0.9609786983746371,-5.039021301625365,0.6823054715586261,0.9609786983746371,0.8794037815964058
24,0.9537909325285044,-5.046209067471498,0.6773147056215879,0.9537909325285044,0.9151487054321266
25,0.9467662390749674,-5.053233760925034,0.6738140634381999,0.9467662390749674,0.9503984904371993
26,0.9398269194874412,-5.06017308051256,0.6690529094535885,0.9398269194874412,0.9854448695163864
27,0.9328505577957025,-5.067149442204299,0.6667044490285248,0.9328505577957025,1.0205280792938956
28,0.9259380191666913,-5.074061980833309,0.6641299817121429,0.9259380191666913,1.0556839801525129
29,0.9191384835835944,-5.080861516416406,0.6594584081556346,0.9191384835835944,1.0903498390076254
30,0.9124744485818997,-5.087525551418102,0.6560016893935698,0.9124744485818997,1.1247688335090518
31,0.905901909366864,-5.094098090633138,0.6522022349613045,0.905901909366864,1.159006187243551
32,0.8994701829625689,-5.100529817037432,0.6493902171863645,0.8994701829625689,1.1928923801223072
33,0.8931531660216521,-5.106846833978349,0.6435268404859708,0.8931531660216521,1.2265912361191345
34,0.8870027419599402,-5.1129972580400604,0.6402555730154466,0.8870027419599402,1.259775300939491
35,0.8809817233633732,-5.119018276636628,0.6362988096975304,0.8809817233633732,1.2923011757645326
36,0.875002908468974,-5.124997091531026,0.6319395915551456,0.875002908468974,1.3252500913944052
37,0.8691949085328046,-5.130805091467197,0.6293652539146444,0.8691949085328046,1.3577310447835615
38,0.8635652434926797,-5.136434756507322,0.6267515736743885,0.8635652434926797,1.389661079180126
39,0.8580295294482156,-5.141970470551786,0.6254515719529428,0.8580295294482156,1.4211010374794226
40,0.8524880243841882,-5.147511975615813,0.6219623368753653,0.8524880243841882,1.4527228023538465
41,0.847033720836307,-5.152966279163694,0.6206792654184987,0.847033720836307,1.4841243585263797
42,0.8416431797211532,-5.158356820278847,0.6185214192600489,0.8416431797211532,1.5155235251249242
43,0.8363626592236435,-5.163637340776357,0.615275447328372,0.8363626592236435,1.5466037145694966
44,0.8311672066130941,-5.1688327933869065,0.6139658118331123,0.8311672066130941,1.5773613309898156
45,0.8261221027155804,-5.17387789728442,0.6112831366237894,0.8261221027155804,1.607715588615155
46,0.8212510942991957,-5.178748905700806,0.6083150668578237,0.8212510942991957,1.6376143420595706
47,0.8165153006429491,-5.183484699357052,0.6058539439443497,0.8165153006429491,1.6671463656885912
48,0.8119475664748168,-5.1880524335251845,0.6030402359642931,0.8119475664748168,1.696160820741167
49,0.8075128913269874,-5.192487108673015,0.6008912978911256,0.8075128913269874,1.7247295448569806
50,0.8032185682617962,-5.196781431738205,0.5983368040415451,0.8032185682617962,1.753036112037959
51,0.7990686933126988,-5.200931306687302,0.5976788533204032,0.7990686933126988,1.7807876218831624
52,0.7949837050205366,-5.2050162949794645,0.5961577727414875,0.7949837050205366,1.8082967159984067
53,0.7910053682399695,-5.2089946317600315,0.5955087922052194,0.7910053682399695,1.8355768976557747
54,0.7871127363432759,-5.212887263656725,0.5936021693325535,0.7871127363432759,1.8626671779220842
55,0.7833314227374638,-5.216668577262538,0.59201146307704,0.7833314227374638,1.88950390828114
56,0.779649326138584,-5.220350673861418,0.5908134726402304,0.779649326138584,1.9162992784833917
57,0.776082133954366,-5.223917866045635,0.5898909936752105,0.776082133954366,1.9426673206055065
58,0.7726372483118013,-5.2273627516882,0.5882181843157707,0.7726372483118013,1.9687854793509767
