Iteration,Hg,Hp,Ht,Hr,Sc,dist_sum
0,5.426100000000002,-0.1526499999999993,5.426100000000002,2.1879687500000014,0.2632464064360164,0.0
1,5.335172950569956,-0.24482704943004607,5.335172950569956,2.1773426666699542,0.26375751807722003,0.026243022135600418
2,5.26576972351614,-0.3142302764838608,5.26576972351614,2.1669867303161396,0.2574040205249684,0.05224854973448306
3,5.199833018531538,-0.3814169814684618,5.199833018531538,2.1574504042315383,0.25154816064189445,0.07807648905627126
4,5.143648646203179,-0.43635135379682244,5.143648646203179,2.1471899702031774,0.24461218172801513,0.10392724811634355
5,5.082109991861279,-0.4991400081387215,5.082109991861279,2.137494759361278,0.2365405472849712,0.12991145709118754
6,5.055040846136071,-0.5287091538639297,5.055040846136071,2.12897646133607,0.22117034054178175,0.1560218657192981
7,4.992974505909282,-0.5882754940907198,4.992974505909282,2.1190566307092795,0.22079725634673764,0.18236086996907935
8,4.957210546808008,-0.6227894531919933,4.957210546808008,2.1085496192080067,0.20781836710505913,0.2090949481833685
9,4.902241731855592,-0.6765082681444083,4.902241731855592,2.0981076166555903,0.20013910256828288,0.2356927331904794
10,4.8372865152416225,-0.7427134847583794,4.8372865152416225,2.0892067652416193,0.192739454600866,0.262186730663052
11,4.792922821511977,-0.7858271784880246,4.792922821511977,2.078722322811974,0.18304961054082186,0.2887108334995865
12,4.722202172295428,-0.8552978277045735,4.722202172295428,2.0695690834954252,0.18235000619430736,0.3151884451886043
13,4.678900602935148,-0.8985993970648529,4.678900602935148,2.0602986673351453,0.1732045609997995,0.34144457767676717
14,4.635052719267016,-0.9424472807329847,4.635052719267016,2.0511735176670136,0.16439664006391752,0.36739058351035975
15,4.590481832176959,-0.9870181678230421,4.590481832176959,2.042520302176956,0.15600129651715575,0.39308536170136177
16,4.5463180524394025,-1.0299319475605986,4.5463180524394025,2.0334820884393996,0.14905594001022188,0.41862992230627544
17,4.488116694924904,-1.086883305075097,4.488116694924904,2.024144220224901,0.1441377300896886,0.44408224665657814
18,4.436480410111412,-1.1372695898885894,4.436480410111412,2.0153427893114086,0.14245705781648632,0.4695156320021033
19,4.3826052131918605,-1.19114478680814,4.3826052131918605,2.006335083191858,0.13600279636370372,0.49500317775446945
20,4.339780335084404,-1.2352196649155973,4.339780335084404,1.9988057050844008,0.1284872412058102,0.5205427931192889
