Iteration,Hg,Hp,Ht,Hr,dist_sum
0,1.1588687500000026,-4.841131249999999,1.1588687500000026,1.1567750000000023,0.0
1,1.1492098493535732,-4.850790150646427,1.1492098493535732,1.1473575583658457,0.03631119315592005
2,1.1395358684513122,-4.86046413154869,1.1395358684513122,1.1379185693064349,0.07245977401636952
3,1.1297643017882888,-4.8702356982117125,1.1297643017882888,1.128369905487669,0.10881354800449601
4,1.1198906156200894,-4.880109384379911,1.1198906156200894,1.1186936764854698,0.14530025597802687
5,1.1100088309389413,-4.88999116906106,1.1100088309389413,1.1090122508952653,0.1819196443887831
6,1.100250467123588,-4.899749532876414,1.100250467123588,1.0994207702204342,0.21875228393653198
7,1.0907931646976168,-4.909206835302385,1.0907931646976168,1.0900753955396167,0.2557803682273952
8,1.081806835970508,-4.918193164029493,1.081806835970508,1.0811823793970086,0.2925394013005226
9,1.073169008602509,-4.926830991397493,1.073169008602509,1.0726325741109108,0.3291601830784802
10,1.0648180476532532,-4.935181952346747,1.0648180476532532,1.064366452187635,0.3654885669977741
11,1.05660932595706,-4.9433906740429405,1.05660932595706,1.0562397717042298,0.4017099600834659
12,1.0485504490055704,-4.951449550994431,1.0485504490055704,1.0482417137062636,0.4378909760958563
13,1.040517843317603,-4.959482156682399,1.040517843317603,1.0402502434434027,0.47445550364664474
14,1.0325418078477915,-4.967458192152209,1.0325418078477915,1.0323157296314576,0.5110007011153609
15,1.0246386287351388,-4.975361371264862,1.0246386287351388,1.0244545340866429,0.5474186332814953
16,1.0167581788458067,-4.983241821154195,1.0167581788458067,1.0166165954803894,0.5842001285919108
17,1.0089197949398319,-4.991080205060168,1.0089197949398319,1.0088074784891508,0.6207587140786697
18,1.00111495989775,-4.998885040102252,1.00111495989775,1.0010245240703166,0.6576851604626174
19,0.993388234934488,-5.006611765065513,0.993388234934488,0.9933199930031769,0.694499253294888
20,0.9857455070866726,-5.014254492913328,0.9857455070866726,0.985699756289958,0.7311037449117107
21,0.978234098104625,-5.0217659018953755,0.978234098104625,0.9782111218367042,0.767550160330425
22,0.9708214016394162,-5.029178598360584,0.9708214016394162,0.9708214016394162,0.803750118214127
23,0.9635616906544724,-5.036438309345529,0.9635616906544724,0.9635616906544724,0.8398703236270288
24,0.9564666683637877,-5.0435333316362145,0.9564666683637877,0.9564666683637877,0.8753703512002
25,0.9495283648356202,-5.050471635164381,0.9495283648356202,0.9495283648356202,0.9103790337101679
26,0.9426158677380201,-5.057384132261981,0.9426158677380201,0.9426158677380201,0.9453668864778807
27,0.935653989412293,-5.064346010587708,0.935653989412293,0.935653989412293,0.9807476227075025
28,0.9287242191771761,-5.071275780822825,0.9287242191771761,0.9287242191771761,1.0161421448580488
29,0.921890096633527,-5.078109903366474,0.921890096633527,0.921890096633527,1.0512547610750482
30,0.9151616187348971,-5.084838381265104,0.9151616187348971,0.9151616187348971,1.0862871944912893
31,0.908557763720864,-5.0914422362791365,0.908557763720864,0.908557763720864,1.121100958407897
32,0.9021039492396378,-5.0978960507603635,0.9021039492396378,0.9021039492396378,1.1551940256216973
33,0.8957547599347981,-5.104245240065204,0.8957547599347981,0.8957547599347981,1.1891691375658529
34,0.889567088724319,-5.110432911275683,0.889567088724319,0.889567088724319,1.22272010488124
35,0.8834974531659218,-5.116502546834078,0.8834974531659218,0.8834974531659218,1.2557333560015125
36,0.8774755336534916,-5.122524466346509,0.8774755336534916,0.8774755336534916,1.2890830726115565
37,0.8716368780438676,-5.128363121956133,0.8716368780438676,0.8716368780438676,1.3219901808157657
38,0.8659645301336828,-5.134035469866318,0.8659645301336828,0.8659645301336828,1.354321517330812
39,0.8603909285341225,-5.1396090714658795,0.8603909285341225,0.8603909285341225,1.3862537331867897
40,0.8548168513975091,-5.145183148602492,0.8548168513975091,0.8548168513975091,1.4182921303690597
41,0.8493349257304409,-5.15066507426956,0.8493349257304409,0.8493349257304409,1.450061083964724
42,0.8439514196987153,-5.156048580301285,0.8439514196987153,0.8439514196987153,1.4815459538134206
43,0.8386824251509608,-5.16131757484904,0.8386824251509608,0.8386824251509608,1.5125944802622076
44,0.8334803231102182,-5.1665196768897825,0.8334803231102182,0.8334803231102182,1.5436242454278184
45,0.8284428426351729,-5.171557157364828,0.8284428426351729,0.8284428426351729,1.574055477062683
46,0.8235712112037172,-5.176428788796284,0.8235712112037172,0.8235712112037172,1.604000256982831
47,0.8188258526709984,-5.181174147329003,0.8188258526709984,0.8188258526709984,1.6336279384225287
48,0.8142408899976993,-5.1857591100023015,0.8142408899976993,0.8142408899976993,1.662781481420158
