Hg,Hp,Ht,Hr
2.5554312500000025,-2.8995687499999985,2.5554312500000025,2.155106250000001
2.5346601916022555,-2.9190898083977452,2.5346601916022555,2.1428162366274393
2.5144400272518177,-2.9380599727481833,2.5144400272518177,2.130681698226834
2.49514981752157,-2.9548501824784315,2.49514981752157,2.1189931089654896
2.476472847157374,-2.972277152842627,2.476472847157374,2.1075854261202216
2.4582272962551563,-2.989272703744845,2.4582272962551563,2.096419188616292
2.4403338702927684,-3.0059161297072325,2.4403338702927684,2.0854083823034513
2.422672400538543,-3.0223275994614576,2.422672400538543,2.0744796305845004
2.405240564063868,-3.0410094359361333,2.405240564063868,2.06365919947784
2.3880242005648293,-3.0582257994351716,2.3880242005648293,2.052968454743765
2.370986328471355,-3.0752636715286457,2.370986328471355,2.0423643037741024
2.3541864845184475,-3.0908135154815533,2.3541864845184475,2.0319163225358348
2.3376050843994185,-3.1061449156005825,2.3376050843994185,2.0216020590929427
2.3212207552626203,-3.123779244737381,2.3212207552626203,2.011407706240189
2.305032639944583,-3.1362173600554177,2.305032639944583,2.001268365583078
2.289078557844044,-3.1509214421559575,2.289078557844044,1.991283663678852
2.2734381773984524,-3.164061822601549,2.2734381773984524,1.9814870297492027
2.258107753608311,-3.1768922463916898,2.258107753608311,1.9718988973370313
2.243044322086512,-3.1932056779134887,2.243044322086512,1.962513631890978
2.228220913872644,-3.206779086127357,2.228220913872644,1.9532753573343211
2.213713866915861,-3.2187861330841394,2.213713866915861,1.944282980210895
2.199533283065306,-3.2342167169346956,2.199533283065306,1.9355496347840142
2.185673117248668,-3.246826882751333,2.185673117248668,1.9270305398581091
2.1720421368664686,-3.261707863133532,2.1720421368664686,1.9185972316923021
2.15860724447584,-3.271392755524161,2.15860724447584,1.9102931918258075
2.145404783488978,-3.287095216511023,2.145404783488978,1.9021413149488167
2.1324017323151496,-3.2988482676848516,2.1324017323151496,1.894145288620667
2.1195667105081695,-3.3129332894918315,2.1195667105081695,1.8862589526418199
2.106862162208347,-3.324387837791654,2.106862162208347,1.8784560196867628
2.0942431525726923,-3.3370068474273085,2.0942431525726923,1.8707435165843234
2.0816882663141945,-3.348311733685806,2.0816882663141945,1.8630988242948625
2.0691472256348726,-3.360852774365129,2.0691472256348726,1.8554846621025285
2.0565908912361577,-3.3709091087638434,2.0565908912361577,1.8478648661184485
2.0438853163058903,-3.3811146836941113,2.0438853163058903,1.840109384841316
2.0311869189108847,-3.3888130810891166,2.0311869189108847,1.8323775655139833
2.0187793106884264,-3.4012206893115744,2.0187793106884264,1.8248414591249624
2.006566765954953,-3.4121832340450475,2.006566765954953,1.8174673803293366
1.9948942494218116,-3.4238557505781895,1.9948942494218116,1.8103982922585382
1.9836095144840844,-3.4363904855159166,1.9836095144840844,1.8035832067841813
1.972638122711583,-3.446111877288418,1.972638122711583,1.7969316850539412
1.9619830287629363,-3.4555169712370644,1.9619830287629363,1.7905233929673376
1.9516063815594604,-3.4633936184405405,1.9516063815594604,1.7843147430669777
1.941490882365077,-3.4710091176349245,1.941490882365077,1.7782673322483862
1.9315928144033516,-3.4846571855966486,1.9315928144033516,1.7723982415865958
1.9217835366316816,-3.49821646336832,1.9217835366316816,1.766613037865632
1.912073392516985,-3.5054266074830163,1.912073392516985,1.7608673290086911
1.9025194915607102,-3.511230508439291,1.9025194915607102,1.7552342370848213
1.89304718331143,-3.516952816688571,1.89304718331143,1.7496224912954248
1.8836583993659968,-3.5238416006340048,1.8836583993659968,1.7440957030796538
1.8743708981271254,-3.5318791018728755,1.8743708981271254,1.7386203036370553
1.865185978434868,-3.539814021565133,1.865185978434868,1.7331886529089597
1.8562097391582006,-3.5487902608418,1.8562097391582006,1.7279032706794117
1.847413619812194,-3.557586380187807,1.847413619812194,1.7227118984102086
1.8388726881254098,-3.5636273118745905,1.8388726881254098,1.7176807625928037
1.8305346998556122,-3.571965300144389,1.8305346998556122,1.7127514575912741
1.8224610295039403,-3.5787889704960603,1.8224610295039403,1.7079446154877571
1.814608726688851,-3.58789127331115,1.814608726688851,1.7032765263770093
1.8069822767510133,-3.5942677232489872,1.8069822767510133,1.6987553592783922
1.799547595239305,-3.597952404760696,1.799547595239305,1.6943445303711537
1.7922137152417563,-3.6027862847582446,1.7922137152417563,1.689948499811867
1.7849477541805459,-3.610052245819455,1.7849477541805459,1.6855571978088866
1.7779024728442392,-3.6183475271557617,1.7779024728442392,1.6813068589323013
1.7710856294686566,-3.625164370531344,1.7710856294686566,1.677216595964119
1.7645223028699255,-3.632977697130076,1.7645223028699255,1.673299044827894
