Iteration,Hg,Hp,Ht,Hr,dist_sum
0,2.5554312500000025,-3.444568749999999,2.5554312500000025,2.0661250000000018,0.0
1,2.5346601916022555,-3.4653398083977454,2.5346601916022555,2.0555720412625833,0.025239612264843912
2,2.5144400272518177,-3.4855599727481836,2.5144400272518177,2.044916601361595,0.050511422174258885
3,2.49514981752157,-3.5048501824784313,2.49514981752157,2.033715275063057,0.07522679917088232
4,2.476472847157374,-3.5235271528426275,2.476472847157374,2.0233040202606194,0.09960108648564354
5,2.4582272962551563,-3.5417727037448454,2.4582272962551563,2.012301310429457,0.1238240595328679
6,2.4403338702927684,-3.5596661297072325,2.4403338702927684,2.00212485514961,0.14801746532118948
7,2.422672400538543,-3.577327599461458,2.422672400538543,1.9910479482204029,0.17235635340157351
8,2.405240564063868,-3.5947594359361332,2.405240564063868,1.9820289653754521,0.19683077034901808
9,2.3880242005648293,-3.6119757994351716,2.3880242005648293,1.9722551052209885,0.2211610290163738
10,2.370986328471355,-3.6290136715286465,2.370986328471355,1.9630609739195979,0.24558207035711876
11,2.3541864845184475,-3.645813515481554,2.3541864845184475,1.9531766915892916,0.26988786407227416
12,2.3376050843994185,-3.662394915600583,2.3376050843994185,1.9424183467330618,0.2940283375941144
13,2.3212207552626203,-3.678779244737381,2.3212207552626203,1.9328880601552163,0.31814436877307006
14,2.305032639944583,-3.6949673600554185,2.305032639944583,1.9219878567810695,0.34225939230278746
15,2.289078557844044,-3.7109214421559575,2.289078557844044,1.9122232325553656,0.3662678644380246
16,2.2734381773984524,-3.726561822601549,2.2734381773984524,1.9015137740133627,0.3898776681077464
17,2.258107753608311,-3.7418922463916893,2.258107753608311,1.8903063216543807,0.4132349136427121
18,2.243044322086512,-3.7569556779134885,2.243044322086512,1.8817197469309732,0.4363173366860352
19,2.228220913872644,-3.7717790861273572,2.228220913872644,1.8725084973065833,0.45932279285745314
20,2.213713866915861,-3.7862861330841397,2.213713866915861,1.8636421540516381,0.48201660082527475
21,2.199533283065306,-3.8004667169346957,2.199533283065306,1.8566814310468769,0.5044647503380256
22,2.185673117248668,-3.814326882751333,2.185673117248668,1.8479150172398382,0.5265322084231034
23,2.1720421368664686,-3.827957863133533,2.1720421368664686,1.841062697478333,0.5484323827963382
24,2.15860724447584,-3.841392755524161,2.15860724447584,1.8319569249283663,0.5702794543929969
25,2.145404783488978,-3.854595216511023,2.145404783488978,1.8253045999044972,0.5918768194597993
26,2.1324017323151496,-3.8675982676848513,2.1324017323151496,1.8180521234573814,0.6134541074964992
27,2.1195667105081695,-3.880433289491832,2.1195667105081695,1.8113231669218857,0.6349112378675785
28,2.106862162208347,-3.893137837791654,2.106862162208347,1.8038591681243776,0.6564124901040425
29,2.0942431525726923,-3.905756847427309,2.0942431525726923,1.7965106010608025,0.6778988626509534
30,2.0816882663141945,-3.9183117336858064,2.0816882663141945,1.7899849400856045,0.6995607195287805
31,2.0691472256348726,-3.9308527743651287,2.0691472256348726,1.7822501827781934,0.7212529757967145
32,2.0565908912361577,-3.9434091087638437,2.0565908912361577,1.7737664626391663,0.7431650168624461
33,2.0438853163058903,-3.9561146836941115,2.0438853163058903,1.7611819459497275,0.7652585297523913
34,2.0311869189108847,-3.9688130810891167,2.0311869189108847,1.7504290190817708,0.7874800051229072
35,2.0187793106884264,-3.9812206893115754,2.0187793106884264,1.7436762805707822,0.8094218536093647
36,2.006566765954953,-3.993433234045048,2.006566765954953,1.736545453779255,0.8312724093576929
37,1.9948942494218116,-4.005105750578189,1.9948942494218116,1.7294670622559327,0.8526303611136961
38,1.9836095144840844,-4.016390485515917,1.9836095144840844,1.7241325639615621,0.8737547943007749
39,1.972638122711583,-4.027361877288419,1.972638122711583,1.7174220567863787,0.8945711565864087
40,1.9619830287629363,-4.038016971237065,1.9619830287629363,1.7119163026968067,0.9152348619225108
41,1.9516063815594604,-4.0483936184405405,1.9516063815594604,1.7060076334377046,0.9355746597895518
42,1.941490882365077,-4.058509117634925,1.941490882365077,1.700110479833309,0.9556921396975163
43,1.9315928144033516,-4.068407185596649,1.9315928144033516,1.6951124074489468,0.9755406378342606
44,1.9217835366316816,-4.07821646336832,1.9217835366316816,1.6893345331416532,0.9954620316167184
45,1.912073392516985,-4.087926607483016,1.912073392516985,1.6832528278951402,1.015623857498476
46,1.9025194915607102,-4.097480508439291,1.9025194915607102,1.6748582701011692,1.035630080062724
47,1.89304718331143,-4.106952816688571,1.89304718331143,1.666836239600031,1.055606464035004
48,1.8836583993659968,-4.116341600634005,1.8836583993659968,1.6605589888327215,1.0755773001589644
49,1.8743708981271254,-4.125629101872876,1.8743708981271254,1.6534155068154106,1.0954714370424463
50,1.865185978434868,-4.134814021565133,1.865185978434868,1.647237610018968,1.115383385558138
51,1.8562097391582006,-4.143790260841801,1.8562097391582006,1.6415020869826553,1.135101528326164
52,1.847413619812194,-4.152586380187807,1.847413619812194,1.636436628876231,1.1547507691722954
53,1.8388726881254098,-4.161127311874591,1.8388726881254098,1.630796647852677,1.1741298833159326
54,1.8305346998556122,-4.169465300144389,1.8305346998556122,1.6265550310004078,1.1933261348814315
55,1.8224610295039403,-4.177538970496061,1.8224610295039403,1.6223205711695776,1.2122937248086854
56,1.814608726688851,-4.185391273311151,1.814608726688851,1.6183746253003986,1.230996947550522
57,1.8069822767510133,-4.193017723248987,1.8069822767510133,1.6139393866996934,1.2495136967535292
58,1.799547595239305,-4.200452404760696,1.799547595239305,1.6074304387093208,1.267745108602695
59,1.7922137152417563,-4.207786284758245,1.7922137152417563,1.5995150290269964,1.285750212504559
