Iteration,Hg,Hp,Ht,Hr,Sc,dist_sum
0,2.348187500000002,-3.651812499999999,2.348187500000002,1.2898500000000022,-1.35130515331126,0.0
1,2.2715533117772315,-3.7284466882227694,2.2715533117772315,1.2768417887772312,-1.3614731864326304,0.041710096156610164
2,2.225655264607123,-3.774344735392878,2.225655264607123,1.2667113294071228,-1.3719376213716128,0.08353704574843074
3,2.1731211213039145,-3.826878878696087,2.1731211213039145,1.255722694903914,-1.383913979250342,0.12486888225899105
4,2.1465223893436196,-3.8534776106563813,2.1465223893436196,1.244787118143619,-1.4010384215453855,0.16599671887680895
5,2.1313508464684183,-3.868649153531582,2.1313508464684183,1.234825578968418,-1.419263318096148,0.20668502771468916
6,2.110578242705699,-3.889421757294302,2.110578242705699,1.2261681279056984,-1.4331433603003674,0.24722222770875202
7,2.0435142031075806,-3.956485796892421,2.0435142031075806,1.2159917593075797,-1.4421735521647332,0.28788479252056975
8,2.0131986160327484,-3.9868013839672525,2.0131986160327484,1.2064605488327476,-1.4576275634061635,0.3286661629763379
9,1.9839152050971145,-4.016084794902887,1.9839152050971145,1.196650784697114,-1.473457347172139,0.3698365507018153
10,1.9699508383948086,-4.030049161605193,1.9699508383948086,1.1872779983948072,-1.491297073832524,0.41085341011361043
11,1.9379648119128527,-4.062035188087149,1.9379648119128527,1.1788430593128514,-1.5027115979998,0.4521875200598937
12,1.8888774510717232,-4.111122548928278,1.8888774510717232,1.1711202210717226,-1.507883542355716,0.49342738391244323
13,1.8489702327886552,-4.151029767211345,1.8489702327886552,1.160371635988655,-1.5226023953805568,0.534448731192314
14,1.8125992190044775,-4.187400780995524,1.8125992190044775,1.1495878266044768,-1.5375397008179934,0.5755457803263119
15,1.7879085195940017,-4.2120914804059995,1.7879085195940017,1.139947157094001,-1.553087196785146,0.6167718090521705
16,1.750739588758252,-4.249260411241749,1.750739588758252,1.129405567558251,-1.5676379609979287,0.6583927640959657
17,1.737434977894303,-4.262565022105698,1.737434977894303,1.1196836775943022,-1.5857224229782614,0.6997996807694394
18,1.7238529230307644,-4.276147076969237,1.7238529230307644,1.1096749782307636,-1.604073707950262,0.7410374322311626
19,1.7026079093210484,-4.297392090678953,1.7026079093210484,1.1020037675210475,-1.6163756407257355,0.7820075008145977
20,1.6801457123474872,-4.319854287652515,1.6801457123474872,1.0944420023474861,-1.6284317142005171,0.8225862552728094
21,1.656680982278192,-4.343319017721809,1.656680982278192,1.086718536278191,-1.6407472693632519,0.8628795699520065
22,1.634074781002166,-4.365925218997835,1.634074781002166,1.0777592346021652,-1.6548762148559417,0.9026904637964441
23,1.6207609363726925,-4.379239063627308,1.6207609363726925,1.0676796704726916,-1.6730851393059494,0.941987947622667
24,1.6076339717903254,-4.3923660282096755,1.6076339717903254,1.0577784921903246,-1.691017080677048,0.9811572507462397
25,1.5694503430309048,-4.430549656969097,1.5694503430309048,1.0504470305309033,-1.6999122960363844,1.019962885762252
26,1.523807371252765,-4.476192628747236,1.523807371252765,1.042969063652764,-1.7064921462971594,1.058246385996309
27,1.4998354691452471,-4.500164530854754,1.4998354691452471,1.0362409618452464,-1.7167397535225573,1.096168161247581
28,1.4885017669661018,-4.5114982330339,1.4885017669661018,1.027623506166101,-1.7324269434576514,1.133831007416978
29,1.4646240806702913,-4.535375919329709,1.4646240806702913,1.01876236387029,-1.7460681585101734,1.1712597139012828
30,1.4554484906832132,-4.544551509316788,1.4554484906832132,1.012210920683212,-1.758462598572835,1.2082852507869548
31,1.4356477464352353,-4.564352253564766,1.4356477464352353,1.0058018065352343,-1.7679895731859898,1.2448287869063803
32,1.4147481027705096,-4.585251897229492,1.4147481027705096,0.9990927947705085,-1.7779646837928773,1.2807788043815673
33,1.3892917280886272,-4.610708271911374,1.3892917280886272,0.9905677571886262,-1.790440998103777,1.316004587988166
34,1.3801584620889367,-4.619841537911064,1.3801584620889367,0.9837985484889361,-1.8028906810424095,1.3513372554735885
35,1.3703341459333342,-4.629665854066666,1.3703341459333342,0.9763319734333337,-1.8162306819641465,1.3863209763397437
36,1.3511484899560235,-4.648851510043977,1.3511484899560235,0.9704595267560227,-1.8246520641513668,1.4211191331778321
37,1.3161430481894003,-4.6838569518106015,1.3161430481894003,0.9636546115893992,-1.8318862130297002,1.4553993387486572
38,1.2961335979120936,-4.703866402087908,1.2961335979120936,0.9579479079120925,-1.8398554037521713,1.4893038255462583
39,1.2767677126017658,-4.723232287398235,1.2767677126017658,0.9523011270017648,-1.847645045936901,1.5229729099757532
40,1.2549985626350513,-4.74500143736495,1.2549985626350513,0.9459305426350504,-1.8565305732229944,1.5564772148573767
41,1.2476873999458777,-4.752312600054124,1.2476873999458777,0.9404740492458771,-1.8664171000155978,1.589542743535879
42,1.2290375090512442,-4.770962490948757,1.2290375090512442,0.9347509178512434,-1.8742475756636083,1.622050233751133
43,1.2220205302261347,-4.777979469773867,1.2220205302261347,0.929505346026134,-1.8837092264097781,1.6541505891251975
44,1.2002202600393528,-4.799779739960647,1.2002202600393528,0.9231169216393522,-1.8923010877411888,1.686105317600886
45,1.1914487595620844,-4.808551240437916,1.1914487595620844,0.9160245370620838,-1.9045171932880207,1.7173954272754108
