Hg,Hp,Ht,Hr
2.5554312500000025,-3.444568749999999,2.5554312500000025,2.0661250000000018
2.5346601916022555,-3.4653398083977454,2.5346601916022555,2.0555720412625833
2.5144400272518177,-3.4855599727481836,2.5144400272518177,2.044916601361595
2.49514981752157,-3.5048501824784313,2.49514981752157,2.033715275063057
2.476472847157374,-3.5235271528426275,2.476472847157374,2.0233040202606194
2.4582272962551563,-3.5417727037448454,2.4582272962551563,2.012301310429457
2.4403338702927684,-3.5596661297072325,2.4403338702927684,2.00212485514961
2.422672400538543,-3.577327599461458,2.422672400538543,1.9910479482204029
2.405240564063868,-3.5947594359361332,2.405240564063868,1.9820289653754521
2.3880242005648293,-3.6119757994351716,2.3880242005648293,1.9722551052209885
2.370986328471355,-3.6290136715286465,2.370986328471355,1.9630609739195983
2.3541864845184475,-3.645813515481554,2.3541864845184475,1.9531766915892916
2.3376050843994185,-3.662394915600583,2.3376050843994185,1.9424183467330618
2.32122075526262,-3.678779244737381,2.32122075526262,1.9328880601552163
2.305032639944583,-3.6949673600554185,2.305032639944583,1.9219878567810695
2.289078557844044,-3.7109214421559575,2.289078557844044,1.9122232325553656
2.2734381773984524,-3.726561822601549,2.2734381773984524,1.9015137740133623
2.258107753608311,-3.7418922463916893,2.258107753608311,1.8903063216543807
2.243044322086512,-3.7569556779134885,2.243044322086512,1.8817197469309732
2.228220913872644,-3.771779086127357,2.228220913872644,1.8725084973065833
2.213713866915861,-3.7862861330841397,2.213713866915861,1.8636421540516381
2.199533283065306,-3.8004667169346957,2.199533283065306,1.8566814310468764
2.185673117248668,-3.8143268827513337,2.185673117248668,1.8479150172398382
2.1720421368664686,-3.827957863133533,2.1720421368664686,1.841062697478333
2.15860724447584,-3.841392755524161,2.15860724447584,1.8319569249283663
2.145404783488978,-3.8545952165110235,2.145404783488978,1.8253045999044972
2.1324017323151496,-3.8675982676848513,2.1324017323151496,1.8180521234573814
2.1195667105081695,-3.880433289491832,2.1195667105081695,1.8113231669218857
2.106862162208347,-3.893137837791654,2.106862162208347,1.8038591681243776
2.0942431525726923,-3.905756847427309,2.0942431525726923,1.7965106010608025
2.0816882663141945,-3.9183117336858064,2.0816882663141945,1.7899849400856045
2.0691472256348726,-3.930852774365129,2.0691472256348726,1.7822501827781934
2.0565908912361577,-3.9434091087638437,2.0565908912361577,1.7737664626391663
2.0438853163058903,-3.9561146836941115,2.0438853163058903,1.7611819459497275
2.0311869189108847,-3.9688130810891167,2.0311869189108847,1.7504290190817708
2.0187793106884264,-3.9812206893115754,2.0187793106884264,1.7436762805707822
2.006566765954953,-3.993433234045048,2.006566765954953,1.736545453779255
1.9948942494218116,-4.005105750578189,1.9948942494218116,1.7294670622559327
1.9836095144840844,-4.016390485515917,1.9836095144840844,1.7241325639615621
1.972638122711583,-4.027361877288419,1.972638122711583,1.7174220567863787
1.961983028762936,-4.038016971237065,1.961983028762936,1.7119163026968067
